ID,coffee_in_cafe,cost_beer,cost_coworking,cost_expat,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,latitude,leisure,lgbt_friendly,life_score,longitude,nightlife,nomadScore,nomad_score,peace_score,place,places_to_work,press_freedom_index,racism,safety,weed,City,Temperature (Celsius),Wind Speed (m/s),Latitude,Longitude,Description,Country,Rank_x,Visa-Free Access,GDP per capita (USD),  Dwellings without basic facilities,  Housing expenditure,  Rooms per person,  Household net adjusted disposable income,  Household net wealth,  Labour market insecurity,  Employment rate,  Long-term unemployment rate,  Personal earnings,  Quality of support network,  Educational attainment,  Student skills,  Years in education,  Air pollution,  Water quality,  Stakeholder engagement for developing regulations,  Voter turnout,  Life expectancy,  Self-reported health,  Feeling safe walking alone at night,  Homicide rate,  Employees working very long hours,  Time devoted to leisure and personal care,  Life satisfaction,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,Rank_y,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
364,2.91,2.91,14.57,1432,2719,0.4,65.3,0.2,0.4,1,0,-27.5949884,1,0.8,0.72,-48.5481743,0.6,0.69,0.69,0.6,Florianopolis,0.4,32.62,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,4.43,4.43,360.42,1954,2657,1,23.8,1,0.8,0.8,0,49.054587,0.8,0.8,0.8,-122.328026,0.8,0.69,0.69,1,Abbotsford,1,15.26,1,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,2.95,2.95,258.5,1832,2247,1,23.8,0.6,0.8,0.8,0,43.683333,0.6,0.6,0.79,-79.766667,0.8,0.69,0.69,1,Brampton,0.4,15.26,1,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,3,3,433,3847,3537,0.8,34,0.8,0.6,0.6,54,43.0352126,0.6,0.6,0.8,-76.2093199,0.8,0.69,0.69,0.8,Syracuse,0.4,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,0.87,0.87,71.11,529,798,0.6,72,0.6,0.6,1,19,43.3155564,0.6,0.2,0.71,21.8947327,0.6,0.69,0.69,0.6,Nis,1,27.6,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1.51,1.51,228.27,1130,1469,0.6,42.4,0.4,0.8,0.4,24,55.7052607,0.6,0.4,0.71,21.0178108,0.4,0.69,0.69,0.8,Klaipeda,0.4,19.95,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1.5,1.5,70,1083,971,0.6,75.6,0.4,0.4,0.8,8,-2.9001285,0.8,0.6,0.7,-79.0058965,0.4,0.69,0.69,0.4,Cuenca,0.4,33.21,0.6,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,5.38,5.38,225.82,7179,5401,0.8,,0.6,,0.8,19,43.7384,1,0.6,0.82,7.4246,1,0.68,0.68,,Monaco,0.8,,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,4.3,4.3,268.83,1670,2524,1,27.5,0.6,0.8,1,17,47.070714,0.6,0.8,0.8,15.439504,0.6,0.68,0.68,1,Graz,0.4,13.18,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1.79,1.79,145.31,792,1733,0.6,52.9,0.6,0.6,0.6,23,44.333333,0.4,0.4,0.73,23.816667,0.6,0.68,0.68,0.8,Craiova,0.6,24.29,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1.79,1.79,145.31,936,1738,0.6,52.9,0.4,0.6,0.6,34,47.156944,0.6,0.4,0.73,27.590278,0.6,0.68,0.68,0.8,Iasi,0.4,24.29,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1.46,1.46,118.58,544,895,0,72,0.4,0.6,0.8,0,-6.2301547,0.2,0.2,0.68,-77.8708478,0.4,0.68,0.68,0.6,Chachapoyas,0.4,29.99,0.6,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,2.37,2.37,52,1006,1372,0.6,75.6,0,0.4,0.6,7,-2.152381,0.6,0.6,0.69,-80.1199965,0.44,0.68,0.68,0.4,Guayaquil,0.4,33.21,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,3.23,3.23,161.3,2489,1925,0.8,43.1,1,0.6,0.6,6,45.6668893,0.8,0.4,0.71,12.2430437,0.8,0.68,0.68,0.8,Treviso,0.4,28.93,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,5.38,5.38,326.9,2393,3109,0.6,34.5,0.8,0.6,0.6,45,48.5690922,0.6,0.6,0.78,7.6920543,0.6,0.68,0.68,0.8,Strasbourg,0.4,23.83,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2.63,2.63,165.24,782,1114,0.6,79.6,0.6,0.2,0.8,5,17.6998,0.6,0.4,0.7,83.2961,0.6,0.68,0.68,0.4,Visakhapatnam,0.6,43.17,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2.69,2.69,219.09,1349,2409,0.6,55.9,1,0.4,1,0,35.3643615,0.4,0.6,0.75,24.4821552,1,0.68,0.68,0.8,Rethymno,1,30.35,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1.07,1.07,229.13,1168,2246,0.8,52.4,0.6,0.6,0.8,9,43.5081323,0.6,0.6,0.72,16.4401935,0.4,0.68,0.68,0.8,Split,0.4,27.91,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1.25,1.25,140.29,881,1618,0.6,74.2,0.6,0.2,1,6,30.5450072,0.64,0.8,0.68,-9.7086375,0.2,0.68,0.68,0.6,Taghazout,0.45,42.64,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,0,0,272.28,884,1872,0.6,77.3,0.6,0.2,0.8,9,37.0587509,0.6,0.2,0.69,37.3100969,0.6,0.68,0.68,0.4,Gaziantep,0.6,50.76,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,4.37,4.37,342.44,2871,3539,0.8,32.4,0.6,0.6,0.8,0,50.9097004,0.8,0.8,0.81,-1.4043509,1,0.68,0.68,0.8,Southampton,0.6,21.7,1,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1,1,183,1267,1963,0.6,66.3,0.4,0.2,1,6,23.159167,1,0.6,0.73,-82.271056,0.8,0.68,0.68,0.6,Havana,0.4,70.23,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1.6,1.6,152.05,1173,1283,0.2,80.2,0.6,0.2,1,0,4.598056,0.6,0.4,0.6,-74.075833,1,0.68,0.68,0.4,Bogota,0.8,44.11,0.4,0.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,6.45,6.45,160.22,2107,3035,0,43.1,0.8,0.6,0.8,13,45.4383842,0.6,0.4,0.72,10.9916215,0.4,0.68,0.68,0.8,Verona,0.4,28.93,0.4,0.8,0,Verona,12.98,2.06,45.4167,11.0333,clear sky,Italy,2nd,192,39580,0.6,22.5,1.4,29431,295020,8.6,58,4.8,37769,89,63,477,17,15.9,77,2.5,73,83.6,73,73,0.5,3.3,16.47,6.5,0.827,323.19,59,5,29,42,22,74,17,11,26,56.2,19.2,38.5,57,53.3,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,2.19,2.19,23.31,929,1772,0.4,65.3,0.2,0.4,0.8,8,-30.0346471,1,0.4,0.67,-51.2176584,0.6,0.68,0.68,0.6,Porto Alegre,0.4,32.62,0.8,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,5.66,5.66,460.34,3287,3060,1,22.5,1,0.8,1,10,-35.2819998,0.6,0.8,0.81,149.1286843,1,0.68,0.68,1,Canberra,0.4,17.84,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,2.15,2.15,182.81,2162,3178,0.8,39.8,0.8,0.8,0.8,7,36.500769,0.8,0.8,0.81,-5.0050844,1,0.68,0.68,0.8,Marbella,0.4,19.92,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1.07,1.07,87.36,729,1508,0.6,52.4,0.6,0.6,0.8,9,45.5549624,0.4,0.6,0.69,18.6955144,0.4,0.68,0.68,0.8,Osijek,0.6,27.91,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1.79,1.79,145.31,860,1921,0.6,52.9,1,0.6,1,42,44.933333,0.4,0.2,0.75,26.033333,0.4,0.68,0.68,0.8,Ploiesti,1,24.29,0.4,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2.81,2.81,64.86,2650,1116,0.6,70.8,1,0.6,1,7,19.116667,0.6,0.4,0.7,-70.633333,0.6,0.68,0.68,0.6,Jarabacoa,0.95,27.9,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,3.76,3.76,351.59,2294,3337,0.6,27.5,0.6,0.8,0.6,22,0,0.6,0.6,0.78,0,0.6,0.68,0.68,1,Innsbruck,0.6,13.18,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1.41,1.41,105.9,1438,2795,0.6,62,0.6,0.2,0.8,0,4.890278,0.4,0.2,0.69,114.942222,0.4,0.68,0.68,0.6,Bandar Seri Begawan,0.8,53.85,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,7.72,7.72,376.36,3435,3933,0.82,24.1,0.6,0.8,0.62,17,49.611621,0.62,0.4,0.76,6.1319346,0.62,0.68,0.68,1,Luxembourg,0.4,14.43,0.8,0.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3.23,3.23,170.55,1468,2492,0.6,43.1,0.6,0.6,0.6,14,38.1404022,0.4,0.4,0.74,13.2172042,0.6,0.68,0.68,0.8,Palermo,0.4,28.93,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,4.79,4.79,72.92,1120,1942,0.6,74.9,0.4,0.2,0.6,5,22.9759527,0.4,0.6,0.66,113.5141342,0.6,0.68,0.68,0.6,Dongguan,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,3.23,3.23,348.96,2111,2983,0.6,28.6,0.6,0.8,0.6,38,49.4056438,0.6,0.4,0.78,8.5435314,0.6,0.68,0.68,1,Heidelberg,0.6,14.8,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2.33,2.33,189.44,980,1853,0.56,65.3,0.6,0.4,0.6,0,-16.6868912,0.4,0.6,0.69,-49.2647943,0.8,0.68,0.68,0.6,Goiania,0.4,32.62,0.8,0.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2.36,2.36,203.94,1250,2198,0.6,65.3,0.6,0.4,0.6,9,13.802994,0.6,0.8,0.64,-88.9053364,0.8,0.67,0.67,0.6,Salvador,0.6,32.62,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,3.76,3.76,327.97,2852,3518,0.6,28.2,0.8,1,0.6,47,53.2002316,0.6,0.4,0.79,5.678422,0.4,0.67,0.67,1,Leeuwarden,0.6,8.76,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1.07,1.07,87.36,860,1958,0.6,52.4,0.8,0.6,0.8,8,45.3270631,0.4,0.6,0.7,14.442176,0.4,0.67,0.67,0.8,Rijeka,0.4,27.91,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2.8,2.8,305.9,1386,1692,0.6,72.6,0.4,0.4,0,8,-25.2968361,0.6,0.2,0.66,-57.6681294,0,0.67,0.67,0.6,Asuncion,0,33.63,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.81,0.81,80.64,778,1283,0.4,66.1,0.4,0.2,0.6,10,1.492659,0.4,0.6,0.61,103.7413591,0.4,0.67,0.67,0.6,Johor Bahru,0.4,46.57,0,0.4,0,Johor Bahru,26.79,0.51,1.4655,103.7578,broken clouds,Malaysia,11th,183,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,527.64,72,8,30,66,69,79,55,69,94,30,7.7,19.3,36.3,18.9,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,7.22,7.22,587.57,3043,4374,1,21.5,0.8,1,0.8,20,56.162939,0.8,0.8,0.83,10.203921,0.8,0.67,0.67,1,Aarhus,0.8,8.89,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,10.03,10.03,70.24,3264,4727,1,21.8,0.8,0.8,1,21,46.0065117,0.6,0.8,0.81,8.9523121,0.8,0.67,0.67,1,Lugano,0.4,11.76,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,5,5,494,8044,4340,0.6,34,0.8,0.6,0.6,44,36.5943679,0.6,0.6,0.79,-121.867499,0.6,0.67,0.67,0.8,Monterey,0.4,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1.57,1.57,481.28,1621,1226,0.6,74.9,0.4,0.2,0.4,18,36.8131,0.4,0.4,0.65,118.0549,0.4,0.67,0.67,0.6,Zibo,0.4,80.96,0.2,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.73,0.73,59.25,433,387,0.8,74.9,0.4,0.2,0.4,13,32.996968,0.4,0.4,0.63,112.2733913,0.6,0.67,0.67,0.6,Nanyang,0.6,80.96,0.4,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,6.5,6.5,528.68,2578,4957,0.8,,0.6,0.4,0.6,12,32.7940463,0.8,0.6,0.81,34.989571,0.6,0.67,0.67,,Haifa,0.6,32.58,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,6.06,6.06,60.62,1194,2107,0.4,81,0.4,0.2,0.6,11,55.790278,0.4,0.2,0.59,49.134722,0.6,0.67,0.67,0.4,Kazan,0.8,49.03,0.4,0.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,8.15,8.15,663.13,3364,4745,1,21.2,0.8,1,0.8,22,60.3912628,0.8,0.8,0.84,5.3220544,0.6,0.67,0.67,1,Bergen,0.8,8.79,0.8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,4,4,467,4939,3695,0.6,34,0.8,0.6,0.6,20,32.8449302,0.6,0.6,0.78,-97.1691775,0.6,0.67,0.67,0.8,Bedford,0.4,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,4.3,4.3,327.97,3617,3455,0.6,28.2,0.8,1,0.6,20,52.5382734,0.6,0.8,0.77,5.1519811,0.2,0.67,0.67,1,Lelystad,0.8,8.76,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2.43,2.43,146.04,1110,1957,0.4,40.7,0.6,0.6,0.6,12,52.406374,0.6,0.4,0.67,16.9251681,0.4,0.67,0.67,0.8,,0.4,23.89,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,3,3,433,4310,4127,0.6,34,0.8,0.6,0.6,23,42.4422877,0.6,0.6,0.79,-76.498375,0.6,0.67,0.67,0.8,Ithaca,0.4,22.49,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,0.84,0.84,68.7,939,1046,0.8,87.7,0.6,0.2,1,6,6.9270786,0.8,0.4,0.66,79.861243,0.24,0.67,0.67,0.4,Colombo,0.6,44.96,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1.08,1.08,87.9,889,738,0.4,55.2,0.2,0.4,1,5,42.2040425,0.6,0.6,0.7,19.140438,0.6,0.67,0.67,0.8,Bar,0.2,32.79,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,4.3,4.3,318.79,3033,3759,0.6,28.2,0.8,1,0.6,41,52.2693353,0.4,0.8,0.78,6.102034,0.2,0.67,0.67,1,Deventer,0.6,8.76,0.6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,5,5,299,4725,5396,0.8,34,0.4,0.6,0.8,31,34.0194543,0.6,0.6,0.8,-118.4911912,1,0.67,0.67,0.8,Santa Monica,0.8,22.49,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,5.33,5.33,433.54,1971,4764,0.8,,0.4,0.4,0.6,11,31.252973,0.6,0.6,0.79,34.791462,0.4,0.67,0.67,,Beersheba,0.6,32.58,0.8,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1.19,1.19,96.78,917,1919,0.6,52.9,0.6,0.6,0.6,7,44.173333,1,0.4,0.74,28.638333,0.6,0.67,0.67,0.8,Constanta,0.4,24.29,0.4,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,3.23,3.23,343.72,1880,2972,0.6,28.6,0.6,0.8,0.6,15,49.5891559,0.6,0.6,0.76,10.914444,0.6,0.67,0.67,1,Erlangen,0.6,14.8,0.6,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2.29,2.29,260.38,1091,2016,0.4,77.3,0.4,0.2,1,7,36.88414,1,0.4,0.71,30.70563,0.8,0.67,0.67,0.4,Antalya,0.4,50.76,0.4,0.8,0,Antalya,18.94,2.57,36.7741,30.7178,clear sky,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665,521.83,72,18,26,84,41,90,60,41,70,37.4,13.2,25.8,37.6,30.7,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2.69,2.69,219.09,1161,1833,0.6,43.1,0.2,0.6,0.8,15,40.914388,0.4,0.4,0.7,14.7906121,0.4,0.67,0.67,0.8,Avellino,0.4,28.93,0.4,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
